"selection1_Area","selection1_location_name","selection1_location_address","selection1_location_timeperiod"
"KINKI Cherry Blossom Spots","Arashiyama","Arashiyama-Higashi-Ichikawa-Cho, Nisikyo-ku, Kyoto City, Kyoto (MAP)","Early to mid April"
"KINKI Cherry Blossom Spots","Ninna-ji","33, Omuro-ouchi, Ukyo-ku, Kyoto-shi, Kyoto (MAP)","mid-April"
"KINKI Cherry Blossom Spots","Daigo-ji","22 Higashi-Oji-cho, Fushimi-ku, Kyoto-shi, Kyoto (MAP)","Early to mid April"
"KINKI Cherry Blossom Spots","Osaka Castle Park","Osakajo, Chuo-ku Osaka-shi, Osaka (MAP)","Early April"
"KINKI Cherry Blossom Spots","Osaka Mint Bureau","1-1-79 Tenma, Kita-ku, Osaka City, Osaka (MAP)","mid-April"
"KINKI Cherry Blossom Spots","Himeji Castle","68 Honmachi, Himeji-shi, Hyogo (MAP)","Early to mid April"
"KINKI Cherry Blossom Spots","Akashi park","1-27, Akashikoen, Akashi-shi, Hyogo (MAP)","Early to mid April"
"KINKI Cherry Blossom Spots","Shukugawa Park/Shukugawa Riverside walkway","2-28 Matsushitacho, Nishinomiya, Hyogo (MAP)","Early April"
"KINKI Cherry Blossom Spots","Shinoyama Castle Ruins","Kitashimmachi, Sasayama-shi, Hyogo, (MAP)","Early to mid April"
"KINKI Cherry Blossom Spots","Nara Park","zousityou Nara-shi Nara (MAP)","Late May to late April"
"KINKI Cherry Blossom Spots","yoshinoyama","Yoshino-cho Yoshino-gun Nara (MAP)","Early April to late April"
"KINKI Cherry Blossom Spots","Negoriji","2286, Negoro, Iwade-shi, Wakayama (MAP)","Late May to mid April"
"KINKI Cherry Blossom Spots","Kimiider","1201, Kimiidera, Wakayama-shi, Wakayama (MAP)","Early to mid April"
"KINKI Cherry Blossom Spots","Shichikawa Dam lakeside","Sada, Kozagawa-cho Higashimuro-gun, Wakayama (MAP)","Late March to early April"
"CHUGOKU/SHIKOKU Cherry Blossom Spots","Kyusyou Park","2, Higasicho, Tottori-shi, Tottori (MAP)","Early to mid April"
"CHUGOKU/SHIKOKU Cherry Blossom Spots","Utsubuki Park","Nakanocho, Kurayoshi-shi, Tottori (MAP)","Early to mid April"
"CHUGOKU/SHIKOKU Cherry Blossom Spots","Matsue Castle Park","1-5, Tonomachi, Matsue-shi, Shimane (MAP)","Early to mid April"
"CHUGOKU/SHIKOKU Cherry Blossom Spots","Hii River embankment cherry blossom row tree","Kisukicho Kisuki, Unnan-shi, Shimane (MAP)","Early to mid April"
"CHUGOKU/SHIKOKU Cherry Blossom Spots","Tsuruyama Park (Tsuyama Castle Ruins)","135 Sange, Tsuyama-shi, Okayama (MAP)","Early to mid April"
"CHUGOKU/SHIKOKU Cherry Blossom Spots","Senkoji Park","19, Nishitsuchidocho, Onomichi-shi, Hiroshima (MAP)","Early to mid April"
"CHUGOKU/SHIKOKU Cherry Blossom Spots","Shobara Ueno Park","1 Higashihonmachi, Shobara city, Hiroshima (MAP)","mid-April"
"CHUGOKU/SHIKOKU Cherry Blossom Spots","Hijiyama Park","Hijiyamacho, Minami-ku Hiroshima-shi, Hiroshima (MAP)","Early to mid April"
"CHUGOKU/SHIKOKU Cherry Blossom Spots","Ozekiyama Park","Miyoshimachi, Miyoshi-shi, Hiroshima (MAP)","Early to mid April"
"CHUGOKU/SHIKOKU Cherry Blossom Spots","Kintaikyou Bridge/Kikko Park","Yokoyama, Iwakuni-shi, Yamaguchi (MAP)","Early to mid April"
"CHUGOKU/SHIKOKU Cherry Blossom Spots","Kikaku Park","Nagaomyo, Sanuki-shi, Kagawa (MAP)","Early to mid April"
"CHUGOKU/SHIKOKU Cherry Blossom Spots","Shiroyama Park","1, Marunochi, Matsuyama-shi, Ehime (MAP)","Early April"
"CHUGOKU/SHIKOKU Cherry Blossom Spots","Makino Park","Sagawa-cho Takaoka-gun Kochi (MAP)","Late March to early April"
"KYUSHU/OKINAWA Cherry Blossom Spots","Nishi Park","Fukuoka-shi Fukuoka (MAP)","Late March to early April"
"KYUSHU/OKINAWA Cherry Blossom Spots","Akizuki Sugi-no-baba Street","649-1, Akizukinotori, Asakura-shi, Fukuoka (MAP)","Late March to early April"
"KYUSHU/OKINAWA Cherry Blossom Spots","Ogi Park","185-1, Ogimachi, Ogi-shi, Saga (MAP)","Late March to early April"
"KYUSHU/OKINAWA Cherry Blossom Spots","Omura Park","1-43, Kushima, Omura-shi, Nagasaki (MAP)","Late May to mid April"
"KYUSHU/OKINAWA Cherry Blossom Spots","Mayuyama chisa kinen Park","3-5643-7, Uenohara, Shimabara-shi, Nagasaki (MAP)","Late March to early April"
"KYUSHU/OKINAWA Cherry Blossom Spots","Kumamoto Castle","Honmaru, Kumamoto-shi, Kumamoto (MAP)","Late March to early April"
"KYUSHU/OKINAWA Cherry Blossom Spots","Lakeside of Ichifusa Dam","Yuyama, Mizukami-mura Kuma-gun, Kumamoto, (MAP)","Late March to early April"
"KYUSHU/OKINAWA Cherry Blossom Spots","Kikuchi Park","Waifu, Kikuchi-shi, Kumamoto (MAP)","Late March to early April"
"KYUSHU/OKINAWA Cherry Blossom Spots","Oka castle","Taketa, Taketa-shi, Oita (MAP)","Early April"
"KYUSHU/OKINAWA Cherry Blossom Spots","Mochio Park","Yokoichicho, Miyakonojo-shi, Miyazaki (MAP)","Late March to early April"
"KYUSHU/OKINAWA Cherry Blossom Spots","Hanatate Park","2784, Kitagocho Gonohara, Nichinan-shi, Miyazaki, (MAP)","Late March to early April"
"KYUSHU/OKINAWA Cherry Blossom Spots","Tadamoto Park","2484-193, Okuchi Harada, Isa-shi, Kagoshima (MAP)","Early April"
"KYUSHU/OKINAWA Cherry Blossom Spots","Kokubu Shiroyama Park","3819, Kokubu Kamikogawa, Kirishima-shi, Kagoshima (MAP)","Late March to early April"
"KYUSHU/OKINAWA Cherry Blossom Spots","Maruoka Park","3201, Yokogawacho Kamino, Kirishima-shi, Kagoshima (MAP)","Early April"
"KYUSHU/OKINAWA Cherry Blossom Spots","Nago Castle Park","5511, Nago, Nago-shi, Okinawa (MAP)","Late January"
